X0_0	Y0_0	X0_1	Y0_1	X0_2	Y0_2	X0_3	Y0_3	X0_4	Y0_4	X0_5	Y0_5
		8.33600e+02	7.38630e-24	8.33600e+02	-2.19950e-26	8.33600e+02	1.87162e-27	8.33600e+02	1.87162e-27	8.33600e+02	7.38630e-24
		8.33950e+02	8.34008e-24	8.33950e+02	-2.93909e-26	8.33950e+02	2.16496e-27	8.33950e+02	2.16496e-27	8.33950e+02	8.34008e-24
		8.34300e+02	9.32965e-24	8.34300e+02	4.44791e-26	8.34300e+02	2.48098e-27	8.34300e+02	2.48098e-27	8.34300e+02	9.32965e-24
		8.34650e+02	1.02040e-23	8.34650e+02	9.42904e-26	8.34650e+02	2.77969e-27	8.34650e+02	2.77969e-27	8.34650e+02	1.02040e-23
		8.35000e+02	1.06790e-23	8.35000e+02	5.07832e-26	8.35000e+02	2.98001e-27	8.35000e+02	2.98001e-27	8.35000e+02	1.06790e-23
		8.35350e+02	1.06381e-23	8.35350e+02	-2.37720e-26	8.35350e+02	3.04092e-27	8.35350e+02	3.04092e-27	8.35350e+02	1.06381e-23
		8.35700e+02	1.01673e-23	8.35700e+02	-2.32002e-26	8.35700e+02	2.97709e-27	8.35700e+02	2.97709e-27	8.35700e+02	1.01673e-23
		8.36050e+02	9.89221e-24	8.36050e+02	5.41217e-26	8.36050e+02	2.96697e-27	8.36050e+02	2.96697e-27	8.36050e+02	9.89221e-24
		8.36400e+02	1.01802e-23	8.36400e+02	1.02033e-25	8.36400e+02	3.12754e-27	8.36400e+02	3.12754e-27	8.36400e+02	1.01802e-23
		8.36750e+02	1.03169e-23	8.36750e+02	5.31953e-26	8.36750e+02	3.24649e-27	8.36750e+02	3.24649e-27	8.36750e+02	1.03169e-23
		8.37100e+02	1.01750e-23	8.37100e+02	-2.71331e-26	8.37100e+02	3.27951e-27	8.37100e+02	3.27951e-27	8.37100e+02	1.01750e-23
		8.37450e+02	9.60096e-24	8.37450e+02	-3.00882e-26	8.37450e+02	3.16948e-27	8.37450e+02	3.16948e-27	8.37450e+02	9.60096e-24
		8.37800e+02	8.96390e-24	8.37800e+02	4.73786e-26	8.37800e+02	3.03083e-27	8.37800e+02	3.03083e-27	8.37800e+02	8.96390e-24
		8.38150e+02	7.91896e-24	8.38150e+02	9.84044e-26	8.38150e+02	2.74231e-27	8.38150e+02	2.74231e-27	8.38150e+02	7.91896e-24
		8.38500e+02	7.16796e-24	8.38500e+02	5.29021e-26	8.38500e+02	2.54225e-27	8.38500e+02	2.54225e-27	8.38500e+02	7.16796e-24
		8.38850e+02	6.77301e-24	8.38850e+02	-2.68469e-26	8.38850e+02	2.46020e-27	8.38850e+02	2.46020e-27	8.38850e+02	6.77301e-24
		8.39200e+02	5.98840e-24	8.39200e+02	-3.24267e-26	8.39200e+02	2.22770e-27	8.39200e+02	2.22770e-27	8.39200e+02	5.98840e-24
		8.39550e+02	4.73304e-24	8.39550e+02	4.21940e-26	8.39550e+02	1.80316e-27	8.39550e+02	1.80316e-27	8.39550e+02	4.73304e-24
		8.39900e+02	4.50199e-24	8.39900e+02	9.40035e-26	8.39900e+02	1.75646e-27	8.39900e+02	1.75646e-27	8.39900e+02	4.50199e-24
		8.40250e+02	4.47833e-24	8.40250e+02	5.37222e-26	8.40250e+02	1.78929e-27	8.40250e+02	1.78929e-27	8.40250e+02	4.47833e-24
		8.40600e+02	4.73356e-24	8.40600e+02	-1.97546e-26	8.40600e+02	1.93675e-27	8.40600e+02	1.93675e-27	8.40600e+02	4.73356e-24
		8.40950e+02	4.75162e-24	8.40950e+02	-2.26315e-26	8.40950e+02	1.99087e-27	8.40950e+02	1.99087e-27	8.40950e+02	4.75162e-24
		8.41300e+02	3.93908e-24	8.41300e+02	4.93648e-26	8.41300e+02	1.69005e-27	8.41300e+02	1.69005e-27	8.41300e+02	3.93908e-24
		8.41650e+02	2.99958e-24	8.41650e+02	9.55942e-26	8.41650e+02	1.31784e-27	8.41650e+02	1.31784e-27	8.41650e+02	2.99958e-24
		8.42000e+02	2.64283e-24	8.42000e+02	5.10280e-26	8.42000e+02	1.18894e-27	8.42000e+02	1.18894e-27	8.42000e+02	2.64283e-24
		8.42350e+02	2.50332e-24	8.42350e+02	-2.25816e-26	8.42350e+02	1.15315e-27	8.42350e+02	1.15315e-27	8.42350e+02	2.50332e-24
		8.42700e+02	2.67743e-24	8.42700e+02	-2.14300e-26	8.42700e+02	1.26287e-27	8.42700e+02	1.26287e-27	8.42700e+02	2.67743e-24
		8.43050e+02	3.79672e-24	8.43050e+02	5.65609e-26	8.43050e+02	1.83363e-27	8.43050e+02	1.83363e-27	8.43050e+02	3.79672e-24
		8.43400e+02	5.26035e-24	8.43400e+02	1.07683e-25	8.43400e+02	2.60119e-27	8.43400e+02	2.60119e-27	8.43400e+02	5.26035e-24
		8.43750e+02	6.89509e-24	8.43750e+02	6.42083e-26	8.43750e+02	3.49095e-27	8.43750e+02	3.49095e-27	8.43750e+02	6.89509e-24
		8.44100e+02	7.87013e-24	8.44100e+02	-1.29621e-26	8.44100e+02	4.07964e-27	8.44100e+02	4.07964e-27	8.44100e+02	7.87013e-24
		8.44450e+02	8.23021e-24	8.44450e+02	-1.81964e-26	8.44450e+02	4.36797e-27	8.44450e+02	4.36797e-27	8.44450e+02	8.23021e-24
		8.44800e+02	8.46938e-24	8.44800e+02	5.39824e-26	8.44800e+02	4.60193e-27	8.44800e+02	4.60193e-27	8.44800e+02	8.46938e-24
		8.45150e+02	8.89643e-24	8.45150e+02	1.02312e-25	8.45150e+02	4.94898e-27	8.45150e+02	4.94898e-27	8.45150e+02	8.89643e-24
		8.45500e+02	9.39241e-24	8.45500e+02	5.89147e-26	8.45500e+02	5.34909e-27	8.45500e+02	5.34909e-27	8.45500e+02	9.39241e-24
		8.45850e+02	9.20160e-24	8.45850e+02	-1.70760e-26	8.45850e+02	5.36489e-27	8.45850e+02	5.36489e-27	8.45850e+02	9.20160e-24
		8.46200e+02	9.24294e-24	8.46200e+02	-2.09546e-26	8.46200e+02	5.51689e-27	8.46200e+02	5.51689e-27	8.46200e+02	9.24294e-24
		8.46550e+02	9.01017e-24	8.46550e+02	5.35181e-26	8.46550e+02	5.50547e-27	8.46550e+02	5.50547e-27	8.46550e+02	9.01017e-24
		8.46900e+02	8.53427e-24	8.46900e+02	1.05551e-25	8.46900e+02	5.33823e-27	8.46900e+02	5.33823e-27	8.46900e+02	8.53427e-24
		8.47250e+02	7.56273e-24	8.47250e+02	6.54526e-26	8.47250e+02	4.84251e-27	8.47250e+02	4.84251e-27	8.47250e+02	7.56273e-24
		8.47600e+02	6.32626e-24	8.47600e+02	-1.05336e-26	8.47600e+02	4.14660e-27	8.47600e+02	4.14660e-27	8.47600e+02	6.32626e-24
		8.47950e+02	5.07549e-24	8.47950e+02	-1.81596e-26	8.47950e+02	3.40539e-27	8.47950e+02	3.40539e-27	8.47950e+02	5.07549e-24
		8.48300e+02	3.47130e-24	8.48300e+02	5.22924e-26	8.48300e+02	2.38406e-27	8.48300e+02	2.38406e-27	8.48300e+02	3.47130e-24
		8.48650e+02	2.35828e-24	8.48650e+02	1.04387e-25	8.48650e+02	1.65786e-27	8.48650e+02	1.65786e-27	8.48650e+02	2.35828e-24
		8.49000e+02	1.77544e-24	8.49000e+02	6.90255e-26	8.49000e+02	1.27755e-27	8.49000e+02	1.27755e-27	8.49000e+02	1.77544e-24
		8.49350e+02	1.93351e-24	8.49350e+02	-1.62798e-27	8.49350e+02	1.42406e-27	8.49350e+02	1.42406e-27	8.49350e+02	1.93351e-24
		8.49700e+02	2.70147e-24	8.49700e+02	-8.01451e-27	8.49700e+02	2.03650e-27	8.49700e+02	2.03650e-27	8.49700e+02	2.70147e-24
		8.50050e+02	3.43784e-24	8.50050e+02	5.86917e-26	8.50050e+02	2.65256e-27	8.50050e+02	2.65256e-27	8.50050e+02	3.43784e-24
		8.50400e+02	4.23293e-24	8.50400e+02	1.05029e-25	8.50400e+02	3.34277e-27	8.50400e+02	3.34277e-27	8.50400e+02	4.23293e-24
		8.50750e+02	4.27819e-24	8.50750e+02	6.53520e-26	8.50750e+02	3.45782e-27	8.50750e+02	3.45782e-27	8.50750e+02	4.27819e-24
		8.51100e+02	4.23980e-24	8.51100e+02	-6.73606e-27	8.51100e+02	3.50717e-27	8.51100e+02	3.50717e-27	8.51100e+02	4.23980e-24
		8.51450e+02	4.50658e-24	8.51450e+02	-1.19482e-26	8.51450e+02	3.81522e-27	8.51450e+02	3.81522e-27	8.51450e+02	4.50658e-24
		8.51800e+02	4.74995e-24	8.51800e+02	5.78534e-26	8.51800e+02	4.11542e-27	8.51800e+02	4.11542e-27	8.51800e+02	4.74995e-24
		8.52150e+02	5.56907e-24	8.52150e+02	1.08147e-25	8.52150e+02	4.93802e-27	8.52150e+02	4.93802e-27	8.52150e+02	5.56907e-24
		8.52500e+02	6.63639e-24	8.52500e+02	7.12906e-26	8.52500e+02	6.02195e-27	8.52500e+02	6.02195e-27	8.52500e+02	6.63639e-24
		8.52850e+02	7.47445e-24	8.52850e+02	-9.97382e-28	8.52850e+02	6.94085e-27	8.52850e+02	6.94085e-27	8.52850e+02	7.47445e-24
		8.53200e+02	7.80075e-24	8.53200e+02	-8.89485e-27	8.53200e+02	7.41293e-27	8.53200e+02	7.41293e-27	8.53200e+02	7.80075e-24
		8.53550e+02	7.21714e-24	8.53550e+02	5.88261e-26	8.53550e+02	7.01827e-27	8.53550e+02	7.01827e-27	8.53550e+02	7.21714e-24
		8.53900e+02	6.21333e-24	8.53900e+02	1.10121e-25	8.53900e+02	6.18291e-27	8.53900e+02	6.18291e-27	8.53900e+02	6.21333e-24
		8.54250e+02	5.88608e-24	8.54250e+02	7.61871e-26	8.54250e+02	5.99362e-27	8.54250e+02	5.99362e-27	8.54250e+02	5.88608e-24
