# wavelength in nm, signal in a.u.
9.0580e+02,9.6420e-08
9.0600e+02,9.6650e-08
9.0620e+02,9.8890e-08
9.0640e+02,1.0570e-07
9.0660e+02,1.0420e-07
9.0680e+02,1.0580e-07
9.0700e+02,1.0980e-07
9.0720e+02,1.1700e-07
9.0740e+02,1.1680e-07
9.0760e+02,1.1870e-07
9.0780e+02,1.2150e-07
9.0800e+02,1.2560e-07
9.0820e+02,1.2910e-07
9.0840e+02,1.2950e-07
9.0860e+02,1.3330e-07
9.0880e+02,1.3490e-07
9.0900e+02,1.3950e-07
9.0920e+02,1.4260e-07
9.0940e+02,1.4880e-07
9.0960e+02,1.5670e-07
9.0980e+02,1.6190e-07
9.1000e+02,1.6660e-07
9.1020e+02,1.7790e-07
9.1040e+02,1.8670e-07
9.1060e+02,1.9430e-07
9.1080e+02,2.0230e-07
9.1100e+02,2.1250e-07
9.1120e+02,2.2780e-07
9.1140e+02,2.4360e-07
9.1160e+02,2.5950e-07
9.1180e+02,2.7430e-07
9.1200e+02,2.9680e-07
9.1220e+02,3.1660e-07
9.1240e+02,3.3810e-07
9.1260e+02,3.6080e-07
9.1280e+02,3.8790e-07
9.1300e+02,4.1190e-07
9.1320e+02,4.3770e-07
9.1340e+02,4.5660e-07
9.1360e+02,4.7460e-07
9.1380e+02,4.9350e-07
9.1400e+02,5.0720e-07
9.1420e+02,5.1500e-07
9.1440e+02,5.1940e-07
9.1460e+02,5.1800e-07
9.1480e+02,5.1580e-07
9.1500e+02,5.1130e-07
9.1520e+02,5.0640e-07
9.1540e+02,5.0160e-07
9.1560e+02,4.9080e-07
9.1580e+02,4.9050e-07
9.1600e+02,4.8690e-07
9.1620e+02,4.7390e-07
9.1640e+02,4.6830e-07
9.1660e+02,4.6360e-07
9.1680e+02,4.5550e-07
9.1700e+02,4.4840e-07
9.1720e+02,4.3940e-07
9.1740e+02,4.2630e-07
9.1760e+02,4.1620e-07
9.1780e+02,4.0520e-07
9.1800e+02,4.0360e-07
9.1820e+02,3.9000e-07
9.1840e+02,3.8310e-07
9.1860e+02,3.7970e-07
9.1880e+02,3.7320e-07
9.1900e+02,3.7580e-07
9.1920e+02,3.6800e-07
9.1940e+02,3.7220e-07
9.1960e+02,3.7380e-07
9.1980e+02,3.7610e-07
9.2000e+02,3.8060e-07
9.2020e+02,3.8850e-07
9.2040e+02,3.9010e-07
9.2060e+02,3.9230e-07
9.2080e+02,3.9070e-07
9.2100e+02,3.9560e-07
9.2120e+02,3.9340e-07
9.2140e+02,3.9380e-07
9.2160e+02,3.9800e-07
9.2180e+02,4.0200e-07
9.2200e+02,4.1060e-07
9.2220e+02,4.1320e-07
9.2240e+02,4.2370e-07
9.2260e+02,4.3460e-07
9.2280e+02,4.5190e-07
9.2300e+02,4.6610e-07
9.2320e+02,4.7950e-07
9.2340e+02,4.9750e-07
9.2360e+02,5.1880e-07
