# wavelength in nm, signal in a.u.
9.4040e+02,4.3770e-06
9.4060e+02,4.3850e-06
9.4080e+02,4.3950e-06
9.4100e+02,4.4030e-06
9.4120e+02,4.3610e-06
9.4140e+02,4.3590e-06
9.4160e+02,4.3810e-06
9.4180e+02,4.3890e-06
9.4200e+02,4.3880e-06
9.4220e+02,4.3980e-06
9.4240e+02,4.3910e-06
9.4260e+02,4.3620e-06
9.4280e+02,4.3510e-06
9.4300e+02,4.3610e-06
9.4320e+02,4.3740e-06
9.4340e+02,4.3780e-06
9.4360e+02,4.3830e-06
9.4380e+02,4.3770e-06
9.4400e+02,4.3690e-06
9.4420e+02,4.3580e-06
9.4440e+02,4.3540e-06
9.4460e+02,4.3650e-06
9.4480e+02,4.3550e-06
9.4500e+02,4.3530e-06
9.4520e+02,4.3650e-06
9.4540e+02,4.3030e-06
9.4560e+02,4.3380e-06
9.4580e+02,4.3510e-06
9.4600e+02,4.3650e-06
9.4620e+02,4.3560e-06
9.4640e+02,4.3540e-06
9.4660e+02,4.3860e-06
9.4680e+02,4.4270e-06
9.4700e+02,4.4230e-06
9.4720e+02,4.4030e-06
9.4740e+02,4.3980e-06
9.4760e+02,4.3720e-06
9.4780e+02,4.3410e-06
9.4800e+02,4.3520e-06
9.4820e+02,4.3570e-06
9.4840e+02,4.3210e-06
9.4860e+02,4.3170e-06
9.4880e+02,4.3480e-06
9.4900e+02,4.3700e-06
9.4920e+02,4.3860e-06
9.4940e+02,4.3820e-06
9.4960e+02,4.4230e-06
9.4980e+02,4.3770e-06
9.5000e+02,4.3565e-06
9.5020e+02,4.3395e-06
9.5040e+02,4.3475e-06
9.5060e+02,4.3510e-06
9.5080e+02,4.3615e-06
9.5100e+02,4.3675e-06
9.5120e+02,4.3800e-06
9.5140e+02,4.3730e-06
9.5160e+02,4.3750e-06
9.5180e+02,4.3945e-06
9.5200e+02,4.3960e-06
9.5220e+02,4.3895e-06
9.5240e+02,4.3965e-06
9.5260e+02,4.4080e-06
9.5280e+02,4.4125e-06
9.5300e+02,4.4160e-06
9.5320e+02,4.4225e-06
9.5340e+02,4.4250e-06
9.5360e+02,4.4095e-06
9.5380e+02,4.4040e-06
9.5400e+02,4.4305e-06
9.5420e+02,4.4310e-06
9.5440e+02,4.4215e-06
9.5460e+02,4.4255e-06
9.5480e+02,4.4335e-06
9.5500e+02,4.4115e-06
9.5520e+02,4.4035e-06
9.5540e+02,4.3960e-06
9.5560e+02,4.4190e-06
9.5580e+02,4.4120e-06
9.5600e+02,4.4155e-06
9.5620e+02,4.4390e-06
9.5640e+02,4.4435e-06
9.5660e+02,4.4330e-06
9.5680e+02,4.4305e-06
9.5700e+02,4.4360e-06
9.5720e+02,4.4210e-06
9.5740e+02,4.4405e-06
9.5760e+02,4.4525e-06
9.5780e+02,4.4845e-06
9.5800e+02,4.4560e-06
9.5820e+02,4.4500e-06
9.5840e+02,4.4430e-06
9.5860e+02,4.4430e-06
9.5880e+02,4.4245e-06
9.5900e+02,4.4290e-06
9.5920e+02,4.4425e-06
9.5940e+02,4.4315e-06
9.5960e+02,4.4235e-06
9.5980e+02,4.4430e-06
9.6000e+02,4.4555e-06
9.6020e+02,4.4350e-06
9.6040e+02,4.4495e-06
9.6060e+02,4.4595e-06
9.6080e+02,4.4610e-06
9.6100e+02,4.4445e-06
9.6120e+02,4.4355e-06
9.6140e+02,4.4585e-06
9.6160e+02,4.4575e-06
9.6180e+02,4.4490e-06
9.6200e+02,4.4515e-06
9.6220e+02,4.4455e-06
9.6240e+02,4.4445e-06
9.6260e+02,4.4350e-06
9.6280e+02,4.4380e-06
9.6300e+02,4.4325e-06
9.6320e+02,4.4070e-06
9.6340e+02,4.4140e-06
9.6360e+02,4.4545e-06
9.6380e+02,4.4410e-06
9.6400e+02,4.4440e-06
9.6420e+02,4.4435e-06
9.6440e+02,4.4605e-06
9.6460e+02,4.4465e-06
9.6480e+02,4.4345e-06
9.6500e+02,4.4475e-06
9.6520e+02,4.4520e-06
9.6540e+02,4.4290e-06
9.6560e+02,4.4315e-06
9.6580e+02,4.4395e-06
9.6600e+02,4.4270e-06
9.6620e+02,4.4200e-06
9.6640e+02,4.4090e-06
9.6660e+02,4.4085e-06
9.6680e+02,4.4080e-06
9.6700e+02,4.4270e-06
9.6720e+02,4.4375e-06
9.6740e+02,4.4375e-06
9.6760e+02,4.4000e-06
9.6780e+02,4.3795e-06
9.6800e+02,4.3885e-06
9.6820e+02,4.3890e-06
9.6840e+02,4.3620e-06
9.6860e+02,4.3715e-06
9.6880e+02,4.3865e-06
9.6900e+02,4.3765e-06
9.6920e+02,4.3930e-06
9.6940e+02,4.4005e-06
9.6960e+02,4.3975e-06
9.6980e+02,4.3670e-06
9.7000e+02,4.3800e-06
9.7020e+02,4.4010e-06
9.7040e+02,4.3870e-06
9.7060e+02,4.3740e-06
9.7080e+02,4.3705e-06
9.7100e+02,4.3520e-06
9.7120e+02,4.3450e-06
9.7140e+02,4.3705e-06
9.7160e+02,4.3830e-06
9.7180e+02,4.3940e-06
9.7200e+02,4.3855e-06
9.7220e+02,4.3760e-06
9.7240e+02,4.3805e-06
9.7260e+02,4.3645e-06
9.7280e+02,4.3505e-06
9.7300e+02,4.3575e-06
9.7320e+02,4.3530e-06
9.7340e+02,4.3390e-06
9.7360e+02,4.3635e-06
